"id","area","size","alg8"
2105,"Hoonah-Angoon Census Area",22,0
2122,"Kenai Peninsula Borough",458,0.305
2150,"Kodiak Island Borough",181,0.146
2164,"Lake and Peninsula Borough",22,0.274
2170,"Matanuska-Susitna Borough",1393,0.26
2185,"North Slope Borough",137,0.026
2188,"Northwest Arctic Borough",136,0.189
2195,"Petersburg Borough",40,0.3
2016,"Aleutians West Census Area",47,0.386
2230,"Skagway Municipality",4,0.812
2068,"Denali Borough",64,0.062
2275,"Wrangell City and Borough",24,0.318
2282,"Yakutat City and Borough",7,0
4013,"Maricopa County",54762,0.16
4025,"Yavapai County",1976,0.197
4012,"La Paz County",196,0.052
4003,"Cochise County",1508,0.137
4005,"Coconino County",1335,0.166
4015,"Mohave County",1732,0.348
4001,"Apache County",919,0.233
4017,"Navajo County",1002,0.087
4009,"Graham County",496,0.243
4019,"Pima County",10600,0.148
4007,"Gila County",583,0.107
4021,"Pinal County",4231,0.232
4023,"Santa Cruz County",775,0.174
4027,"Yuma County",3018,0.151
4011,"Greenlee County",133,0.272
5001,"Arkansas County",258,0
5011,"Bradley County",156,0
5021,"Clay County",185,0.201
5031,"Craighead County",1285,0.332
5053,"Grant County",389,0.123
5055,"Greene County",593,0.171
5063,"Independence County",485,0.071
5065,"Izard County",131,0.099
5067,"Jackson County",153,0.099
5079,"Lincoln County",131,0
5093,"Mississippi County",594,0.381
5099,"Nevada County",107,0
5103,"Ouachita County",299,0.249
5119,"Pulaski County",4228,0.198
5149,"Yell County",355,0.093
5003,"Ashley County",300,0
5005,"Baxter County",386,0.215
5027,"Columbia County",256,0.236
5111,"Poinsett County",324,0
5133,"Sevier County",248,0.179
5123,"St. Francis County",264,0.217
5007,"Benton County",3400,0.176
5075,"Lawrence County",256,0.117
5107,"Phillips County",274,0.31
5073,"Lafayette County",83,0
5025,"Cleveland County",126,0.221
5101,"Newton County",72,0.054
5113,"Polk County",237,0.245
5097,"Montgomery County",85,0.089
5089,"Marion County",123,0.27
5129,"Searcy County",94,0.126
5143,"Washington County",3117,0.207
5131,"Sebastian County",1513,0.264
5017,"Chicot County",91,0.355
5061,"Howard County",213,0.214
5069,"Jefferson County",581,0.221
5033,"Crawford County",842,0.283
5009,"Boone County",454,0.196
5019,"Clark County",175,0.309
5081,"Little River County",155,0.058
5115,"Pope County",714,0.222
5147,"Woodruff County",91,0
5145,"White County",992,0.102
5125,"Saline County",1309,0.224
5015,"Carroll County",295,0
5059,"Hot Spring County",258,0.274
5057,"Hempstead County",250,0.248
5083,"Logan County",282,0.035
5095,"Monroe County",68,0
5085,"Lonoke County",1076,0.216
5135,"Sharp County",238,0.105
5091,"Miller County",469,0.097
5047,"Franklin County",241,0.128
5071,"Johnson County",375,0.168
5141,"Van Buren County",171,0.146
5023,"Cleburne County",283,0.268
5045,"Faulkner County",1431,0.265
5051,"Garland County",1134,0.269
5117,"Prairie County",93,0
5043,"Drew County",239,0.236
5041,"Desha County",196,0.261
5035,"Crittenden County",791,0.197
5105,"Perry County",124,0.219
5139,"Union County",565,0.23
5039,"Dallas County",73,0.497
5109,"Pike County",150,0.319
5013,"Calhoun County",42,0.243
5037,"Cross County",261,0
5087,"Madison County",192,0.217
5049,"Fulton County",119,0.638
5127,"Scott County",174,0
5077,"Lee County",55,0
5121,"Randolph County",200,0
5137,"Stone County",133,0.097
5029,"Conway County",230,0.295
6037,"Los Angeles County",101625,0.218
6001,"Alameda County",14422,0.163
6041,"Marin County",2509,0.198
6065,"Riverside County",32080,0.121
6083,"Santa Barbara County",4863,0.05
6035,"Lassen County",300,0.198
6057,"Nevada County",898,0.279
6061,"Placer County",4768,0.158
6071,"San Bernardino County",29865,0.082
6105,"Trinity County",119,0.32
6019,"Fresno County",14410,0.227
6029,"Kern County",13142,0.067
6053,"Monterey County",5838,0.137
6047,"Merced County",4337,0.113
6097,"Sonoma County",5144,0.122
6107,"Tulare County",7643,0.042
6067,"Sacramento County",16898,0.122
6023,"Humboldt County",1107,0.095
6073,"San Diego County",35123,0.155
6087,"Santa Cruz County",2732,0.543
6021,"Glenn County",388,0.492
6077,"San Joaquin County",10285,0.07
6079,"San Luis Obispo County",2489,0.164
6007,"Butte County",2080,0.402
6099,"Stanislaus County",7877,0.056
6039,"Madera County",2340,0.102
6093,"Siskiyou County",411,0.25
6027,"Inyo County",173,0.059
6111,"Ventura County",11708,0.152
6059,"Orange County",36618,0.209
6003,"Alpine County",3,0
6085,"Santa Clara County",20022,0.235
6005,"Amador County",315,0.138
6045,"Mendocino County",904,0.244
6103,"Tehama County",842,0.21
6013,"Contra Costa County",13040,0.242
6031,"Kings County",2019,0.092
6081,"San Mateo County",6831,0.205
6089,"Shasta County",1946,0.172
6109,"Tuolumne County",358,0
6095,"Solano County",4861,0.099
6017,"El Dorado County",2021,0.222
6025,"Imperial County",2951,0.089
6101,"Sutter County",1317,0.118
6009,"Calaveras County",402,0.165
6055,"Napa County",1577,0.181
6115,"Yuba County",1035,0.209
6069,"San Benito County",818,0.207
6011,"Colusa County",349,0.006
6113,"Yolo County",2277,0.193
6015,"Del Norte County",278,0
6051,"Mono County",114,0.121
6033,"Lake County",669,0.496
6043,"Mariposa County",149,0
6049,"Modoc County",74,0.251
6063,"Plumas County",158,0
6075,"San Francisco County",3519,0.01
6091,"Sierra County",35,0
8017,"Cheyenne County",26,0.692
8031,"Denver County",6110,0.656
8125,"Yuma County",110,0.262
8001,"Adams County",6627,0.153
8101,"Pueblo County",2049,0.116
8041,"El Paso County",8903,0.225
8045,"Garfield County",753,0.191
8037,"Eagle County",547,0.049
8077,"Mesa County",1726,0.866
8067,"La Plata County",521,0.195
8069,"Larimer County",3415,0.361
8015,"Chaffee County",150,0.412
8071,"Las Animas County",202,0.642
8121,"Washington County",50,0.118
8003,"Alamosa County",201,0.19
8021,"Conejos County",117,0.169
8007,"Archuleta County",119,0
8063,"Kit Carson County",73,0.054
8097,"Pitkin County",266,0.337
8123,"Weld County",3912,0.265
8005,"Arapahoe County",8457,0.194
8093,"Park County",113,0.116
8014,"Broomfield County",1021,0.164
8013,"Boulder County",3596,0.307
8087,"Morgan County",407,0.278
8059,"Jefferson County",6314,0.258
8009,"Baca County",39,0.205
8043,"Fremont County",403,0.195
8109,"Saguache County",78,0
8089,"Otero County",249,0.205
8019,"Clear Creek County",57,0.772
8083,"Montezuma County",290,0.138
8079,"Mineral County",6,1
8119,"Teller County",204,0.214
8025,"Crowley County",30,0.264
8105,"Rio Grande County",162,0.158
8029,"Delta County",369,0.228
8033,"Dolores County",20,0.4
8035,"Douglas County",5357,0.331
8061,"Kiowa County",21,0
8039,"Elbert County",253,0.324
8075,"Logan County",188,0
8023,"Costilla County",32,0.124
8047,"Gilpin County",42,0.581
8099,"Prowers County",157,0.23
8049,"Grand County",140,0.282
8051,"Gunnison County",158,0.764
8095,"Phillips County",59,0.496
8107,"Routt County",255,0.272
8053,"Hinsdale County",5,0
8073,"Lincoln County",45,0.045
8115,"Sedgwick County",80,0.348
8055,"Huerfano County",48,0.414
8065,"Lake County",83,0
8011,"Bent County",58,0
8103,"Rio Blanco County",73,0.217
8081,"Moffat County",150,0.148
8085,"Montrose County",500,0.257
8113,"San Miguel County",96,0.255
8091,"Ouray County",53,0.655
8111,"San Juan County",5,0.971
8117,"Summit County",252,0.248
8057,"Jackson County",14,1
8027,"Custer County",35,0.198
9003,"Hartford County",10304,0.325
9007,"Middlesex County",1672,0.25
9011,"New London County",2856,0.261
9001,"Fairfield County",10996,0.295
9009,"New Haven County",9589,0.28
9015,"Windham County",1254,0.443
9013,"Tolland County",1613,0.362
9005,"Litchfield County",1785,0.233
10001,"Kent County",2349,0.157
10003,"New Castle County",5636,0.296
10005,"Sussex County",1910,0.36
11001,"District of Columbia",4109,0.288
24003,"Anne Arundel County",5870,0.44
12095,"Orange County",15390,0.337
12001,"Alachua County",2116,0.441
12003,"Baker County",324,0.226
12005,"Bay County",2014,0.162
12007,"Bradford County",238,0.412
12009,"Brevard County",5425,0.386
12011,"Broward County",19805,0.228
12013,"Calhoun County",162,0.247
12015,"Charlotte County",1348,0.256
12017,"Citrus County",1151,0.225
12019,"Clay County",2794,0.212
12031,"Duval County",8582,0.199
12021,"Collier County",3657,0.339
12023,"Columbia County",816,0.309
12086,"Miami-Dade County",26788,0.264
12027,"DeSoto County",347,0.305
12029,"Dixie County",119,0.209
12033,"Escambia County",2912,0.306
12035,"Flagler County",1033,0.13
12037,"Franklin County",92,0.272
12039,"Gadsden County",386,0.364
12041,"Gilchrist County",193,0.439
12043,"Glades County",144,0.381
12045,"Gulf County",156,0.192
12047,"Hamilton County",158,0.088
12049,"Hardee County",378,0.153
12051,"Hendry County",497,0.303
12053,"Hernando County",1686,0.256
12055,"Highlands County",893,0.182
12057,"Hillsborough County",15546,0.436
12059,"Holmes County",248,0.242
12061,"Indian River County",1373,0.24
12063,"Jackson County",488,0.241
12065,"Jefferson County",66,0.181
12067,"Lafayette County",105,0.503
12069,"Lake County",3135,0.398
12071,"Lee County",6820,0.405
12073,"Leon County",2483,0.25
12075,"Levy County",417,0.344
12077,"Liberty County",100,0.734
12079,"Madison County",174,0.103
12081,"Manatee County",3807,0.172
12083,"Marion County",3255,0.161
12085,"Martin County",1475,0.202
12087,"Monroe County",582,0.212
12089,"Nassau County",901,0.398
12091,"Okaloosa County",2267,0.206
12093,"Okeechobee County",475,0.246
12097,"Osceola County",4753,0.289
12099,"Palm Beach County",13706,0.25
12101,"Pasco County",5575,0.294
12103,"Pinellas County",7373,0.385
12105,"Polk County",7284,0.155
12107,"Putnam County",829,0.155
12113,"Santa Rosa County",2150,0.311
12115,"Sarasota County",2919,0.288
12117,"Seminole County",4831,0.415
12109,"St. Johns County",2326,0.287
12111,"St. Lucie County",3221,0.235
12119,"Sumter County",659,0.339
12121,"Suwannee County",420,0.51
12123,"Taylor County",186,0.511
12125,"Union County",189,0.253
12127,"Volusia County",4682,0.156
12129,"Wakulla County",406,0.417
12131,"Walton County",640,0.307
12133,"Washington County",228,0.412
13285,"Troup County",898,0
13031,"Bulloch County",726,0.107
13077,"Coweta County",1800,0
13081,"Crisp County",327,0
13245,"Richmond County",2326,0.25
13021,"Bibb County",1751,0.887
13091,"Dodge County",222,0.066
13095,"Dougherty County",1017,1
13063,"Clayton County",5618,0.112
13109,"Evans County",145,0
13313,"Whitfield County",1620,0.102
13089,"DeKalb County",7510,0.108
13139,"Hall County",2763,0.348
13067,"Cobb County",9250,0.187
13115,"Floyd County",1225,0.095
13303,"Washington County",203,0.146
13051,"Chatham County",2573,0.195
13275,"Thomas County",645,0.065
13299,"Ware County",432,0.025
13215,"Muscogee County",2261,0.179
13121,"Fulton County",10628,0.118
13001,"Appling County",245,0.134
13003,"Atkinson County",138,0
13005,"Bacon County",138,0
13007,"Baker County",20,0
13009,"Baldwin County",386,0.07
13135,"Gwinnett County",14470,0.415
13037,"Calhoun County",88,0.822
13057,"Cherokee County",3292,0.256
13011,"Banks County",239,0.117
13013,"Barrow County",986,0.175
13015,"Bartow County",1367,0.144
13017,"Ben Hill County",217,0
13019,"Berrien County",217,0
13023,"Bleckley County",192,0
13025,"Brantley County",269,0
13143,"Haralson County",436,0
13027,"Brooks County",163,0
13029,"Bryan County",701,0.224
13033,"Burke County",326,0.175
13035,"Butts County",234,0.234
13129,"Gordon County",799,0.098
13039,"Camden County",676,0
13043,"Candler County",153,0.169
13045,"Carroll County",1453,0.361
13047,"Catoosa County",838,0.002
13049,"Charlton County",101,0
13053,"Chattahoochee County",44,0.323
13055,"Chattooga County",327,0.067
13295,"Walker County",750,0.062
13059,"Clarke County",847,0.051
13061,"Clay County",22,0
13065,"Clinch County",120,0
13069,"Coffee County",514,0
13071,"Colquitt County",644,0.071
13073,"Columbia County",2002,0.244
13157,"Jackson County",983,0.109
13075,"Cook County",238,0
13079,"Crawford County",131,0
13083,"Dade County",173,0
13085,"Dawson County",253,0
13087,"Decatur County",357,0
13093,"Dooly County",90,0
13097,"Douglas County",2036,0.001
13175,"Laurens County",680,0
13099,"Early County",186,0
13101,"Echols County",51,0
13103,"Effingham County",877,0
13105,"Elbert County",205,0.244
13107,"Emanuel County",292,0.007
13111,"Fannin County",252,0
13113,"Fayette County",1643,0.128
13117,"Forsyth County",3479,0.162
13119,"Franklin County",289,0.2
13123,"Gilmer County",319,0.174
13125,"Glascock County",49,0
13127,"Glynn County",950,0.158
13131,"Grady County",304,0
13133,"Greene County",180,0.188
13255,"Spalding County",758,0.139
13137,"Habersham County",521,0.185
13141,"Hancock County",55,0
13145,"Harris County",408,0.15
13147,"Hart County",252,0.229
13149,"Heard County",156,0
13151,"Henry County",3383,0.218
13153,"Houston County",2128,0.949
13155,"Irwin County",154,0
13159,"Jasper County",174,0.138
13161,"Jeff Davis County",216,0.147
13163,"Jefferson County",205,0
13165,"Jenkins County",89,0
13167,"Johnson County",96,0
13169,"Jones County",421,0.132
13171,"Lamar County",203,0.176
13173,"Lanier County",123,0
13177,"Lee County",534,0.121
13179,"Liberty County",741,0
13181,"Lincoln County",92,0.208
13183,"Long County",270,0
13185,"Lowndes County",1356,0.071
13187,"Lumpkin County",283,0.218
13193,"Macon County",113,0.23
13195,"Madison County",369,0.035
13197,"Marion County",120,0.317
13189,"McDuffie County",302,0
13191,"McIntosh County",129,0.246
13199,"Meriwether County",228,0
13205,"Mitchell County",275,0.127
13207,"Monroe County",305,0.079
13209,"Montgomery County",98,0.101
13211,"Morgan County",241,0
13213,"Murray County",584,0
13217,"Newton County",1521,0.101
13219,"Oconee County",596,0.236
13221,"Oglethorpe County",189,0
13223,"Paulding County",2239,0.239
13225,"Peach County",304,0.151
13227,"Pickens County",378,0.129
13229,"Pierce County",281,0
13231,"Pike County",254,0.165
13233,"Polk County",620,0
13235,"Pulaski County",105,0.265
13237,"Putnam County",213,0
13239,"Quitman County",25,0
13241,"Rabun County",168,0.224
13243,"Randolph County",60,0
13247,"Rockdale County",1259,0.18
13249,"Schley County",100,0
13251,"Screven County",165,0
13253,"Seminole County",126,0
13297,"Walton County",1239,0
13257,"Stephens County",297,0.198
13259,"Stewart County",37,0
13261,"Sumter County",349,0
13263,"Talbot County",40,0.627
13265,"Taliaferro County",11,0.182
13267,"Tattnall County",251,0
13269,"Taylor County",113,0
13271,"Telfair County",142,0
13273,"Terrell County",115,0
13277,"Tift County",612,0.071
13279,"Toombs County",509,0.078
13281,"Towns County",80,0
13283,"Treutlen County",79,0
13287,"Turner County",106,0
13289,"Twiggs County",69,0.641
13291,"Union County",207,0.196
13293,"Upson County",342,0.201
13301,"Warren County",48,0
13305,"Wayne County",407,0.187
13307,"Webster County",34,0
13309,"Wheeler County",72,0
13311,"White County",305,0.173
13315,"Wilcox County",89,0
13317,"Wilkes County",102,0
13319,"Wilkinson County",105,0
13321,"Worth County",266,0
15003,"Honolulu County",8915,0.254
15001,"Hawaii County",1952,0.194
15009,"Maui County",1550,0.191
15007,"Kauai County",712,0.264
16017,"Bonner County",426,0.212
16027,"Canyon County",3045,0.102
16001,"Ada County",5825,0.804
16057,"Latah County",375,0.349
16019,"Bonneville County",1788,0.126
16011,"Bingham County",790,0.318
16077,"Power County",130,0.322
16049,"Idaho County",133,0.105
16083,"Twin Falls County",1173,0.229
16047,"Gooding County",233,0.101
16053,"Jerome County",334,0.334
16055,"Kootenai County",1704,0.24
16059,"Lemhi County",60,0.323
16015,"Boise County",61,0.126
16007,"Bear Lake County",87,0.558
16013,"Blaine County",285,0.223
16021,"Boundary County",104,0.249
16073,"Owyhee County",209,0.557
16023,"Butte County",25,0.382
16025,"Camas County",11,0.328
16087,"Washington County",152,0.306
16085,"Valley County",106,0.461
16031,"Cassia County",408,0
16037,"Custer County",42,0.426
16033,"Clark County",7,0
16009,"Benewah County",101,0.196
16003,"Adams County",29,0.067
16069,"Nez Perce County",415,0
16063,"Lincoln County",69,0.143
16041,"Franklin County",250,0
16045,"Gem County",180,0.296
16043,"Fremont County",161,0.257
16075,"Payette County",326,0.063
16039,"Elmore County",319,0.277
16029,"Caribou County",114,0.311
16061,"Lewis County",63,0.073
16051,"Jefferson County",432,1
16079,"Shoshone County",127,0
16065,"Madison County",564,0.29
16005,"Bannock County",987,0.295
16067,"Minidoka County",258,0.119
16071,"Oneida County",78,0.6
16035,"Clearwater County",75,0.242
16081,"Teton County",141,0.447
17085,"Jo Daviess County",230,0.41
17023,"Clark County",186,0.325
17147,"Piatt County",288,0.345
17193,"White County",167,0
17105,"Livingston County",425,0.174
17031,"Cook County",55406,0.308
17073,"Henry County",621,0.33
17089,"Kane County",7875,0.286
17083,"Jersey County",199,0.268
17165,"Saline County",242,0.227
17015,"Carroll County",182,0.493
17145,"Perry County",200,0.307
17097,"Lake County",9477,0.284
17087,"Johnson County",137,0.856
17127,"Massac County",202,0.24
17053,"Ford County",240,0.102
17143,"Peoria County",2052,0.14
17059,"Gallatin County",52,0.281
17111,"McHenry County",4066,0.414
17183,"Vermilion County",945,0.158
17113,"McLean County",2018,0.117
17019,"Champaign County",1810,0.202
17013,"Calhoun County",31,0
17107,"Logan County",264,0.241
17017,"Cass County",165,0.363
17099,"LaSalle County",1172,0.166
17125,"Mason County",122,0.173
17121,"Marion County",473,0.087
17123,"Marshall County",192,0.221
17045,"Edgar County",242,0.137
17115,"Macon County",1101,0.326
17011,"Bureau County",414,0.189
17057,"Fulton County",444,0.169
17001,"Adams County",685,0.21
17149,"Pike County",184,0.097
17051,"Fayette County",203,0.181
17135,"Montgomery County",336,0.227
17049,"Effingham County",360,0.095
17201,"Winnebago County",3307,0.247
17079,"Jasper County",113,0.547
17029,"Coles County",474,0.096
17173,"Shelby County",165,0.502
17199,"Williamson County",756,0.197
17063,"Grundy County",934,0.197
17077,"Jackson County",500,0.118
17103,"Lee County",287,0.024
17119,"Madison County",3011,0.468
17157,"Randolph County",306,0.182
17129,"Menard County",185,0.126
17167,"Sangamon County",2208,0.159
17163,"St. Clair County",2832,0.263
17197,"Will County",10015,0.208
17055,"Franklin County",475,0.109
17109,"McDonough County",261,0.507
17071,"Henderson County",58,0.322
17187,"Warren County",187,0.181
17075,"Iroquois County",333,0.224
17169,"Schuyler County",92,0
17067,"Hancock County",188,0.125
17131,"Mercer County",90,0.202
17195,"Whiteside County",670,0.196
17081,"Jefferson County",408,0.29
17043,"DuPage County",10121,0.229
17027,"Clinton County",389,0.27
17185,"Wabash County",126,0.218
17181,"Union County",202,0.233
17041,"Douglas County",246,0.215
17139,"Moultrie County",103,0.167
17189,"Washington County",132,0.166
17007,"Boone County",802,0.173
17171,"Scott County",57,0.035
17091,"Kankakee County",1410,0.179
17175,"Stark County",61,0
17117,"Macoupin County",544,0.468
17141,"Ogle County",629,0.317
17003,"Alexander County",59,0.422
17161,"Rock Island County",1573,0.121
17021,"Christian County",413,0.274
17179,"Tazewell County",1571,0.163
17191,"Wayne County",171,0.109
17025,"Clay County",142,0.107
17039,"De Witt County",159,0
17133,"Monroe County",393,0.194
17065,"Hamilton County",108,0.209
17137,"Morgan County",387,0.747
17177,"Stephenson County",510,0.332
17037,"DeKalb County",1265,0.222
17159,"Richland County",173,0
17047,"Edwards County",65,0
17203,"Woodford County",425,0.18
17095,"Knox County",461,0.132
17061,"Greene County",88,0.246
17005,"Bond County",155,0.215
17069,"Hardin County",38,0.275
17033,"Crawford County",197,0.227
17101,"Lawrence County",162,0.165
17093,"Kendall County",2144,0.202
17153,"Pulaski County",74,0
17009,"Brown County",46,0
17035,"Cumberland County",121,0.233
17151,"Pope County",43,0.445
17155,"Putnam County",66,0
18095,"Madison County",1367,0.195
18077,"Jefferson County",300,0.089
18017,"Cass County",541,0.241
18055,"Greene County",418,0.248
18043,"Floyd County",916,0.282
18097,"Marion County",11262,0.197
18141,"St. Joseph County",2782,0.422
18089,"Lake County",6192,0.233
18003,"Allen County",4084,0.249
18035,"Delaware County",945,0.28
18153,"Sullivan County",235,0.387
18001,"Adams County",314,0.376
18057,"Hamilton County",4659,0.279
18091,"LaPorte County",1320,0.202
18105,"Monroe County",1051,0.239
18127,"Porter County",2204,0.222
18019,"Clark County",1268,0.221
18121,"Parke County",159,0.207
18099,"Marshall County",568,0.259
18045,"Fountain County",213,0.287
18029,"Dearborn County",675,0.337
18063,"Hendricks County",2307,0.394
18027,"Daviess County",335,0.255
18005,"Bartholomew County",846,0.319
18137,"Ripley County",422,0.332
18039,"Elkhart County",2598,0.208
18007,"Benton County",149,0.22
18009,"Blackford County",160,0.625
18065,"Henry County",575,0.192
18061,"Harrison County",457,0.419
18179,"Wells County",373,0.387
18021,"Clay County",352,0.251
18013,"Brown County",170,0.289
18071,"Jackson County",563,0.321
18123,"Perry County",195,0.265
18015,"Carroll County",184,0.28
18049,"Fulton County",191,0.046
18081,"Johnson County",2026,0.19
18177,"Wayne County",720,0.215
18033,"DeKalb County",592,0.164
18113,"Noble County",552,0.358
18135,"Randolph County",323,0.252
18067,"Howard County",991,0.263
18023,"Clinton County",490,0.212
18133,"Putnam County",439,0.256
18183,"Whitley County",487,0.326
18025,"Crawford County",122,0.201
18031,"Decatur County",370,0.155
18011,"Boone County",846,0.285
18051,"Gibson County",384,0.21
18175,"Washington County",350,0.239
18053,"Grant County",861,0.207
18059,"Hancock County",1045,0.201
18145,"Shelby County",559,0.227
18109,"Morgan County",939,0.231
18163,"Vanderburgh County",1660,0.225
18041,"Fayette County",295,0.255
18047,"Franklin County",190,0.2
18151,"Steuben County",308,0.266
18181,"White County",390,0.252
18037,"Dubois County",562,0.343
18069,"Huntington County",401,0.139
18075,"Jay County",286,0.192
18079,"Jennings County",348,0.173
18073,"Jasper County",403,0.16
18149,"Starke County",283,0.283
18157,"Tippecanoe County",1748,0.222
18087,"LaGrange County",434,0.239
18085,"Kosciusko County",911,0.348
18101,"Martin County",120,0.131
18171,"Warren County",90,0.222
18103,"Miami County",414,0.186
18169,"Wabash County",396,0.303
18093,"Lawrence County",531,0.145
18131,"Pulaski County",160,0.196
18129,"Posey County",271,0.351
18083,"Knox County",382,0.467
18107,"Montgomery County",293,0.167
18111,"Newton County",150,0.262
18147,"Spencer County",253,0.316
18159,"Tipton County",196,0.25
18165,"Vermillion County",199,0.213
18117,"Orange County",249,0.178
18125,"Pike County",161,0.334
18115,"Ohio County",67,0.369
18139,"Rush County",202,0.4
18143,"Scott County",274,0.284
18119,"Owen County",194,0.02
18155,"Switzerland County",108,0
18161,"Union County",110,0.252
18167,"Vigo County",1151,0.222
18173,"Warrick County",807,0.241
19099,"Jasper County",444,0.213
19143,"Osceola County",45,0.356
19059,"Dickinson County",180,0.283
19171,"Tama County",294,0.174
19021,"Buena Vista County",248,0.207
19025,"Calhoun County",123,0.403
19077,"Guthrie County",114,0.601
19141,"O'Brien County",151,0.072
19155,"Pottawattamie County",1193,0.1
19127,"Marshall County",497,0.12
19075,"Grundy County",111,0.188
19049,"Dallas County",1292,0.548
19149,"Plymouth County",279,0.38
19135,"Monroe County",85,0.368
19113,"Linn County",2709,0.26
19109,"Kossuth County",162,0.209
19005,"Allamakee County",162,0.147
19023,"Butler County",203,0.137
19169,"Story County",819,0.313
19105,"Jones County",231,0.18
19097,"Jackson County",230,0.268
19153,"Polk County",5422,0.29
19047,"Crawford County",223,0
19029,"Cass County",213,0.065
19009,"Audubon County",75,0.304
19035,"Cherokee County",157,0.254
19083,"Hardin County",209,0.293
19173,"Taylor County",69,0.058
19011,"Benton County",262,0.172
19197,"Wright County",169,0
19163,"Scott County",2066,0.335
19179,"Wapello County",452,0.196
19015,"Boone County",271,0.235
19167,"Sioux County",364,0.199
19081,"Hancock County",44,0.425
19157,"Poweshiek County",203,0.683
19189,"Winnebago County",189,0.099
19057,"Des Moines County",459,0.272
19069,"Franklin County",105,0.189
19045,"Clinton County",557,0.201
19181,"Warren County",704,0.262
19027,"Carroll County",210,0.094
19013,"Black Hawk County",1185,0.189
19007,"Appanoose County",150,0.376
19043,"Clayton County",194,0.231
19053,"Decatur County",78,0.204
19111,"Lee County",357,0.152
19119,"Lyon County",145,0.067
19117,"Lucas County",107,0.24
19067,"Floyd County",213,0.103
19145,"Page County",165,0.279
19039,"Clarke County",115,0.034
19041,"Clay County",159,0.206
19103,"Johnson County",1220,0.288
19033,"Cerro Gordo County",487,0.241
19115,"Louisa County",187,0.22
19175,"Union County",123,0.073
19051,"Davis County",80,0.223
19191,"Winneshiek County",203,0.234
19017,"Bremer County",319,0.246
19159,"Ringgold County",61,0.113
19061,"Dubuque County",1024,0.188
19085,"Harrison County",197,0.294
19031,"Cedar County",249,0.195
19121,"Madison County",265,0.291
19019,"Buchanan County",250,0.143
19193,"Woodbury County",1342,0.164
19147,"Palo Alto County",123,0.079
19095,"Iowa County",175,0.256
19063,"Emmet County",91,0.284
19101,"Jefferson County",182,0.268
19187,"Webster County",358,0.217
19071,"Fremont County",71,0.056
19129,"Mills County",189,0.278
19001,"Adair County",61,0.157
19165,"Shelby County",122,0.179
19177,"Van Buren County",70,0.338
