id,name,nSchls,mn_wbg_SEDA,mn_whg_SEDA,G08,HI08,BL08,WH08,WB_dissim,WH_dissim,HI08_alg_p,HI08_access_p,BL08_alg_p,BL08_access_p,WH08_alg_p,WH08_access_p,WB_diff,WH_diff,WB_access,WH_access,rank
1201920,"Volusia County School District, FL",17,2.0279779,1.2735205,4624,932,718,2684,.34841463,.42713618,.12446352,.99356222,.091922008,.96378833,.17585693,.99664682,.083934925,.051393412,.032858491,.0030846,81
1201590,"Polk County School District, FL",32,1.7404718,.67376328,7035,2139,1458,3033,.28395671,.28311992,.12716222,.99766248,.10768176,.99039781,.19024068,.99109793,.082558922,.063078463,.00070011616,-.0065645576,82
3904380,"Columbus City School District, OH",44,1.1340086,.43392611,4028,375,2341,914,.55143958,.41475129,.029333333,.39199999,.031610422,.37718925,.11159737,.39824945,.079986952,.082264043,.021060199,.0062494576,83
102370,"Mobile County School District, AL",19,1.8651316,-.35264492,3979,107,1962,1703,.56029028,.25373584,.12149533,.83177572,.096839957,.65698266,.17087492,.85026425,.074034967,.049379595,.19328159,.018488526,84
609850,"Corona-Norco Unified School District, CA",10,.98815632,1.4478865,4086,2098,228,1153,.35813135,.34995872,.070066728,.96377504,.1008772,1,.16912402,.99739808,.068246827,.099057294,-.0026019216,.03362304,85
5100840,"Chesterfield County Public Schools, VA",12,1.4684262,.80097437,4639,599,1266,2424,.38911244,.45120719,.80133557,1,.76303315,1,.83044553,1,.067412376,.029109955,0,0,86
2400480,"Montgomery County Public Schools, MD",38,3.2124786,3.2846208,11246,3080,2285,3642,.53092438,.51316065,.42370129,1,.43326038,1,.50054914,1,.067288756,.076847851,0,0,87
4900420,"Jordan School District, UT",18,1.0457125,1.9155645,4583,570,55,3645,.28143162,.34196088,.76842105,.92631578,.63636363,.92727274,.6984911,.91961592,.062127471,-.069929957,-.0076568127,-.0066998601,88
2400120,"Baltimore County Public Schools, MD",28,1.9900069,1.5095963,7675,570,3025,3202,.55898702,.36878267,.43859649,.9982456,.41884297,.99008262,.48001251,1,.061169535,.041416019,.0099173784,.0017544031,89
408800,"Tucson Unified District, AZ",30,2.2335486,1.2728634,3695,2346,232,783,.33524904,.45974725,.032821823,.17050299,.02586207,.28448275,.083014049,.27203065,.057151981,.050192226,-.012452096,.10152766,90
1200480,"Duval County School District, FL",42,1.7172008,1.1546345,8189,864,3554,3015,.45902452,.27602267,.16782407,.90046299,.18036015,.81767023,.23747927,.9323383,.057119116,.069655195,.11466807,.031875312,91
2400420,"Howard County Public Schools, MD",20,2.4469376,1.8828058,4167,389,937,1738,.46852821,.44717801,.31105399,1,.33831376,1,.36881474,1,.030500978,.057760745,0,0,92
4900030,"Alpine School District, UT",20,2.9132805,2.4442692,6080,712,52,4987,.31051502,.32878435,.015449438,.14606741,.01923077,.21153846,.043112092,.25045118,.023881322,.027662653,.038912714,.10438377,93
4900210,"Davis School District, UT",21,2.6821661,2.2523475,5773,539,86,4835,.36185998,.3211804,.057513915,.95547312,.069767445,.96511626,.091830403,.96814889,.022062957,.034316488,.0030326247,.012675762,94
3904378,"Cleveland Municipal School District, OH",93,1.6970823,.82995462,3452,541,2252,529,.74233782,.4500173,.0036968577,.035120148,.015541741,.069715805,.026465029,.077504724,.010923288,.022768172,.0077889189,.042384576,95
4218990,"Philadelphia City School District, PA",159,1.8290319,1.7785139,12183,2413,6759,1742,.75770336,.68571121,.0045586405,.020306673,.023080338,.067169696,.032721009,.11653272,.0096406713,.028162368,.049363025,.096226051,96
1302220,"Forsyth County School District, GA",10,1.7561698,1.8524275,3479,419,117,2402,.21603435,.26291436,.069212407,1,.11965812,1,.12281432,1,.0031562001,.053601913,0,0,97
4807710,"Aldine Independent School District, TX",11,1.0470715,.028683662,4377,3149,1060,73,.28436288,.1896362,.066687837,.94855511,.064150944,.98679245,.05479452,.95890409,-.0093564242,-.011893317,-.027888358,.010348976,98
5102250,"Loudoun County Public Schools, VA",15,1.5927191,1.2863841,5955,935,417,3182,.17551063,.30431974,.59037435,1,.51079136,1,.49025771,1,-.020533651,-.10011664,0,0,99
2612000,"Detroit City School District, MI",87,.61888814,-.220119,5199,691,4225,180,.87123603,.70378679,.33140376,.57018811,.33609468,.44,.11666667,.16666667,-.219428,-.21473709,-.27333331,-.40352142,100
